HS_CODE2,HS_code,MFN_Rate,Preferential_Rate(Agreement rate),Countries(abbreviated) for Preferential_Rate(Agreement rate),Preferential_Tariff_Rate(Special_Preferential_Tariff_Rate),,General_Tariff_Rate
"""2818.1090""",2818.1090 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , JP R , KR ,KH,NI,EC,",,,
,,,,"RS,MV,HK,MO",,,
,,,3.3,"AU ,RNZ",,,
"""2818.2000""","2818.2000 -, 5?0",5?0,0,"AS,CL,PK,NZ,SG,",0,LD,30
,,,,"PE,CR,CH,IS,KR,AU,GE,",,,
,,,,"RMU, AS R , AU R , KR ,",,,
,,,,"RNZ ,KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
,,,5.1,JP,,,
"""2818.3000""",2818.3000 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , JP , KR ,RNZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""28.19""",28.19,28.19,,,,,
"""2819.1000""",2819.1000 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU ,RNZ ,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,3.3,KR,,,
,,,3.5,JP,,,
"""2819.9000""",2819.9000 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS ,RAU R , JP R , KR , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""28.2""",28.2,28.2,,,,,
"""2820.1000""",2820.1000 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,40
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP R , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2820.9000""",2820.9000 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""28.21""","28.21 ,",,,,,,
"""0.7""",0.7,0.7,,,,,
"""2821.1000""",2821.1000 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,1.4,KR,,,
,,,3.3,"AS R , AU , KR R , NZ",,,
,,,4.1,JP,,,
"""2821.2000""",2821.2000 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,45
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU ,RNZ ,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,3.3,KR,,,
,,,3.5,RJP,,,
"""28.22""",28.22,28.22,,,,,
"""2822.0010""",2822.0010 - 5?2,5?2,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2822.0090""",2822.0090 - 5?2,5?2,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""28.23""",28.23,28.23,,,,,
"""2823.0000""",2823.0000  5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP R , KR , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""28.24""",28.24,28.24,,,,,
"""2824.1000""",2824.1000 -( 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2824.9010""",2824.9010 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,45
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2824.9090""",2824.9090 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""28.25""",28.25,28.25,,,,,
"""-""",-,,,,,,
"""2825.1010""",2825.1010 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , NZ ,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,3.3,KR,,,
,,,3.5,JP,,,
"""2825.1020""",2825.1020 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU ,RNZ ,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,3.3,KR,,,
,,,3.5,JP,,,
"""2825.1090""",2825.1090 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2825.2010""",2825.2010 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2825.2090""",2825.2090 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2825.3010""",2825.3010 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , NZ ,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,3.3,KR,,,
,,,3.5,JP,,,
"""2825.3090""",2825.3090 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP ,RKR ,RNZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2825.4000""",2825.4000 - 5?2,5?2,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , JP ,RKR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2825.5000""",2825.5000 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2825.6000""",2825.6000 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2825.7000""",2825.7000 - 5,5,0,"AS,CL,PK,NZ,CR,CH,",0,LD,30
,,,,"IS, RKR,AU,GE,MU, AS ,",,,
,,,,"RAU , KR R , NZ ,KH,NI,",,,
,,,,"RS,MV,HK,MO",,,
,,,3,EC,,,
,,,3.5,JP,,,
"""2825.8000""",2825.8000 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , JP , KR ,RNZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2825.9011""",2825.9011  5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP ,RKR ,RNZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2825.9012""",2825.9012  5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS ,RAU , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2825.9019""",2825.9019,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2825.9021""",2825.9021,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP R , KR , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2825.9029""",2825.9029,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2825.9031""",2825.9031,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2825.9039""",2825.9039,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2825.9041""",2825.9041,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2825.9049""",2825.9049,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP R , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2825.9090""",2825.9090 -,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""28.26""",28.26,28.26,,,,,
"""2826.1210""",2826.1210 -,5.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , JP ,RKR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2826.1290""",2826.1290 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP R , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2826.1910""",2826.1910 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP R , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2826.1920""",2826.1920 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP R , KR , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2826.1930""",2826.1930 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , JP ,RKR ,RNZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2826.1990""",2826.1990 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP R , KR , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2826.3000""",2826.3000 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP R , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2826.9010""",2826.9010 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , NZ ,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,3.3,KR,,,
,,,3.5,JP,,,
"""2826.9020""",2826.9020 - 5.5,5.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,1.4,KR,,,
,,,3.3,"RAS ,RAU , KR R , NZ",,,
,,,4.1,JP,,,
"""2826.9090""",2826.9090 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,1.4,KR,,,
,,,3.3,"AS , AU R , KR R , NZ",,,
,,,4.1,JP,,,
"""28.27""",28.27,28.27,,,,,
"""2827.1010""",2827.1010 - 4,4,0,"AS,CL,PK,NZ,PE,CR,",0,LD,11
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , KR R , NZ ,KH,",,,
,,,,"NI,EC,RS,MV,HK,MO",,,
,,,2.5,RJP,,,
"""2827.1090""",2827.1090 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2827.2000""",2827.2000 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,50
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP , KR ,RNZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2827.3100""",2827.3100  5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , NZ ,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,3.3,RKR,,,
,,,3.5,JP,,,
"""2827.3200""",2827.3200  5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2827.3500""",2827.3500  5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , JP , KR ,RNZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2827.3910""",2827.3910 - 5?0,5?0,0,"AS,CL,PK,NZ,CR,CH,",0,LD,30
,,,,"IS, RKR,AU,GE,MU, AS ,",,,
,,,,"RAU ,RKR ,RNZ ,KH,NI,",,,
,,,,"RS,MV,HK,MO",,,
,,,3,EC,,,
,,,3.3,AP,,,
,,,3.5,JP,,,
"""2827.3920""",2827.3920 - 5,5,0,"AS,CL,PK,NZ,CR,IS,",0,LD,30
,,,,"KR,AU,GE, RMU, AS ,",,,
,,,,"RAU R , KR R , NZ ,KH,NI,",,,
,,,,"RS,MV,HK,MO",,,
,,,3,EC,,,
,,,3.3,AP,,,
,,,3.5,JP,,,
"""2827.3930""",2827.3930 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
,,,3.3,AP,,,
"""2827.3990""",2827.3990 - 5,5,0,"AS,CL,PK,NZ,CR,CH,",0,LD,30
,,,,"RIS,KR,AU,GE,MU, AS ,",,,
,,,,"RAU , KR R , NZ ,KH,NI,",,,
,,,,"RS,MV,HK,MO",,,
,,,3,EC,,,
,,,3.3,AP,,,
,,,3.5,JP,,,
"""2827.4100""",2827.4100  5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS ,RAU , JP ,RKR , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2827.4910""",2827.4910 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2827.4990""",2827.4990 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2827.5100""",2827.5100  5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS ,RAU , JP , KR ,RNZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2827.5900""",2827.5900  5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , NZ ,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,3.3,KR,,,
,,,3.5,JP,,,
"""2827.6000""",2827.6000 - 5,5,0,"AS,CL,PK,NZ,CR,CH,",0,LD,30
,,,,"RIS,KR,AU,GE,MU, AS ,",,,
,,,,"RAU , KR R , NZ ,KH,NI,",,,
,,,,"RS,MV,HK,MO",,,
,,,3,EC,,,
,,,3.5,JP,,,
"""28.28""",28.28,28.28,,,,,
"""2828.1000""",2828.1000 - 5,5,0,"AS,CL,NZ,SG,PE,",0,LD,80
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , NZ ,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,2,PK,,,
,,,3.3,AP,,,
,,,7.2,KR,,,
,,,7.6,JP,,,
"""2828.9000""",2828.9000 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""28.29""",28.29,28.29,,,,,
"""2829.1100""",2829.1100  5,5,0,"AS,CL,NZ,SG,PE,",0,LD,30
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU ,RNZ ,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,6,PK,,,
,,,7.2,KR,,,
,,,7.6,RJP,,,
"""2829.1910""",2829.1910 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2829.1990""",2829.1990 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2829.9000""",2829.9000 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""28.30""","28.30 ,",,,,,,
"""2830.1010""",2830.1010 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,40
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2830.1090""",2830.1090 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2830.9020""",2830.9020 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,45
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS ,RAU , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2830.9030""",2830.9030 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU ,RNZ ,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,3.3,KR,,,
,,,3.5,JP,,,
"""2830.9090""",2830.9090 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""28.31""",28.31,28.31,,,,,
"""2831.1010""",2831.1010 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP R , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2831.1020""",2831.1020 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2831.9000""",2831.9000 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU ,RJP R , KR ,RNZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""28.32""",28.32,28.32,,,,,
"""2832.1000""",2832.1000 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS ,RAU , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2832.2000""",2832.2000 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP R , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2832.3000""",2832.3000 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , JP , KR ,RNZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""28.33""",28.33,28.33,,,,,
"""2833.1100""",2833.1100  5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,40
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS ,RAU R , KR ,RNZ ,KH,",,,
,,,,"NI,EC,RS,MV,HK,MO",,,
,,,2.5,AP,,,
,,,3.5,JP,,,
"""2833.1900""",2833.1900  5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , JP , KR ,RNZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2833.2100""",2833.2100  5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2833.2200""",2833.2200  5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP ,RKR , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2833.2400""",2833.2400  5?0,5?0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP ,RKR , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2833.2500""",2833.2500  5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP R , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2833.2700""",2833.2700  5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU ,RNZ ,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,3.3,KR,,,
,,,3.5,JP,,,
"""2833.2910""",2833.2910 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,45
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP R , KR , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2833.2920""",2833.2920 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS ,RAU , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""2833.2930""",2833.2930 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , NZ ,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,3.3,RKR,,,
,,,3.5,JP,,,
"""2833.2990""",2833.2990 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , KR R , NZ ,KH,",,,
,,,,"NI,EC,RS,MV,HK,MO",,,
,,,3.5,JP,,,
