HS_Code,VAT_Rate
0603130000,9.0%
0603140000,9.0%
0603150000,9.0%
0603190010,9.0%
0603190090,9.0%
0603900010,13.0%
0603900090,13.0%
0604201000,9.0%
0604209010,9.0%
0604209090,9.0%
0604901000,9.0%
0604909010,13.0%
0604909090,13.0%
0701100000,9.0%
0701900000,9.0%
0702000000,9.0%
0703101000,9.0%
0703102000,9.0%
0703201000,9.0%
0703202000,9.0%
0703209000,9.0%
0703901000,9.0%
0703902000,9.0%
0703909000,9.0%
0704100001,9.0%
0704100002,9.0%
0704200000,9.0%
0704901000,9.0%
0704902000,9.0%
0704909001,9.0%
0704909090,9.0%
0705110000,9.0%
0705190000,9.0%
0705210000,9.0%
0705290000,9.0%
0706100001,9.0%
0706100090,9.0%
0706900000,9.0%
0707000000,9.0%
0708100000,9.0%
0708200000,9.0%
0708900000,9.0%
0709200000,9.0%
0709300000,9.0%
0709400000,9.0%
0709510000,9.0%
0709591000,9.0%
0709592000,9.0%
0709593000,9.0%
0709594000,9.0%
0709595000,9.0%
0709596000,9.0%
0709599000,9.0%
0709600000,9.0%
0709700000,9.0%
0709910000,9.0%
0709920000,9.0%
0709930000,9.0%
0709991010,9.0%
0709991090,9.0%
0709999001,9.0%
0709999002,9.0%
0709999003,9.0%
0709999004,9.0%
0709999005,9.0%
0709999010,9.0%
0709999090,9.0%
0710100000,9.0%
0710210000,9.0%
0710221000,9.0%
0710229000,9.0%
0710290000,9.0%
0710300000,9.0%
0710400000,9.0%
0710801000,9.0%
0710802000,9.0%
0710803000,9.0%
0710804000,9.0%
0710809010,9.0%
0710809020,9.0%
0710809030,9.0%
0710809090,9.0%
0710900000,9.0%
0711200000,9.0%
0711400000,9.0%
0711511200,9.0%
0711511900,9.0%
0711519000,9.0%
0711591100,9.0%
0711591910,9.0%
0711591990,9.0%
0711599010,9.0%
0711599090,9.0%
0711903110,9.0%
0711903190,9.0%
0711903410,9.0%
0711903490,9.0%
0711903900,9.0%
0711909000,9.0%
0712200000,9.0%
0712310000,9.0%
0712320000,9.0%
0712330000,9.0%
0712391000,9.0%
0712392000,9.0%
0712395000,9.0%
0712399100,9.0%
0712399910,9.0%
0712399990,9.0%
0712901010,9.0%
0712901090,9.0%
0712902000,9.0%
0712903000,9.0%
0712904000,9.0%
0712905010,13.0%
0712905090,13.0%
0712909100,9.0%
0712909910,9.0%
0712909990,9.0%
0713101000,9.0%
0713109000,9.0%
0713201000,9.0%
0713209000,9.0%
0713311000,9.0%
0713319000,9.0%
0713321000,9.0%
0713329000,9.0%
0713331000,9.0%
0713339000,9.0%
0713340000,9.0%
0713350000,9.0%
0713390000,9.0%
0713401000,9.0%
0713409000,9.0%
0713501000,9.0%
0713509000,9.0%
0713601000,9.0%
0713609000,9.0%
0713901000,9.0%
0713909000,9.0%
0714101000,9.0%
0714102000,9.0%
0714103000,9.0%
0714201100,9.0%
0714201900,9.0%
0714202000,9.0%
0714203000,9.0%
0714300000,9.0%
0714400001,9.0%
0714400090,9.0%
0714500000,9.0%
0714901000,9.0%
0714902100,9.0%
0714902900,9.0%
0714909010,9.0%
0714909091,9.0%
0714909099,9.0%
0801110000,9.0%
0801120000,9.0%
0801191000,9.0%
0801199000,9.0%
0801210000,9.0%
0801220000,9.0%
0801310000,9.0%
0801320000,9.0%
0802110000,9.0%
0802120000,9.0%
0802210000,9.0%
0802220000,9.0%
0802310000,9.0%
0802320000,9.0%
0802411000,9.0%
0802419000,9.0%
0802421000,9.0%
0802429000,9.0%
0802510000,9.0%
0802520000,9.0%
0802611000,9.0%
0802619000,9.0%
0802620000,9.0%
0802700000,9.0%
0802800001,9.0%
0802800090,9.0%
0802902000,9.0%
0802903010,9.0%
0802903020,9.0%
0802903090,9.0%
0802909010,9.0%
0802909020,9.0%
0802909030,9.0%
0802909040,9.0%
0802909090,9.0%
0803100000,9.0%
0803900000,9.0%
0804100000,9.0%
0804200000,9.0%
0804300001,9.0%
0804300090,9.0%
0804400000,9.0%
0804501001,9.0%
0804501090,9.0%
0804502001,9.0%
0804502090,9.0%
0804503000,9.0%
0805100000,9.0%
0805211000,9.0%
0805219000,9.0%
0805220000,9.0%
0805290000,9.0%
0805400001,9.0%
0805400090,9.0%
0805500000,9.0%
0805900000,9.0%
0806100000,9.0%
0806200000,9.0%
0807110000,9.0%
0807191000,9.0%
0807192000,9.0%
0807199000,9.0%
0807200000,9.0%
0808100000,9.0%
0808301000,9.0%
0808302000,9.0%
0808309000,9.0%
0808400000,9.0%
0809100000,9.0%
0809210000,9.0%
0809290000,9.0%
0809300000,9.0%
0809400001,9.0%
0809400090,9.0%
0810100000,9.0%
0810200000,9.0%
0810300000,9.0%
0810400010,9.0%
0810400090,9.0%
0810500000,9.0%
0810600000,9.0%
0810700000,9.0%
0810901000,9.0%
0810903000,9.0%
0810904000,9.0%
0810905000,9.0%
0810906000,9.0%
0810907000,9.0%
0810908000,9.0%
0810909001,9.0%
0810909002,9.0%
0810909010,9.0%
0810909090,9.0%
0811100000,9.0%
0811200000,9.0%
0811901000,9.0%
0811909010,9.0%
0811909021,9.0%
0811909022,9.0%
0811909030,9.0%
0811909040,9.0%
0811909050,9.0%
0811909060,9.0%
0811909090,9.0%
0812100000,9.0%
0812900010,9.0%
0812900021,9.0%
0812900022,9.0%
0812900030,9.0%
0812900040,9.0%
0812900050,9.0%
0812900090,9.0%
0813100000,9.0%
0813200000,9.0%
0813300000,9.0%
0813401000,9.0%
0813402000,9.0%
0813403000,9.0%
0813404000,9.0%
0813409010,9.0%
0813409020,9.0%
0813409090,9.0%
0813500000,9.0%
0814000000,9.0%
0901110000,13.0%
0901120000,13.0%
0901210000,13.0%
0901220000,13.0%
0901901000,13.0%
0901902000,13.0%
0902101000,9.0%
0902109000,9.0%
0902201000,9.0%
0902209000,9.0%
0902301000,9.0%
0902302000,9.0%
0902309000,9.0%
0902401000,9.0%
0902402000,9.0%
0902409000,9.0%
0903000000,9.0%
0904110010,9.0%
0904110090,9.0%
0904120000,9.0%
0904210000,9.0%
0904220000,9.0%
0905100000,9.0%
0905200000,9.0%
0906110000,9.0%
0906190000,9.0%
0906200000,9.0%
0907100000,9.0%
0907200000,9.0%
0908110000,9.0%
0908120000,9.0%
0908210000,9.0%
0908220000,9.0%
0908310000,9.0%
0908320000,9.0%
0909210000,9.0%
0909220000,9.0%
0909310000,9.0%
0909320000,9.0%
0909611000,9.0%
0909619010,9.0%
0909619090,9.0%
0909621000,9.0%
0909629010,9.0%
0909629090,9.0%
0910110000,9.0%
0910120000,9.0%
0910200000,9.0%
0910300000,9.0%
0910910000,13.0%
0910990000,13.0%
1001110001,9.0%
1001110090,9.0%
1001190001,9.0%
1001190090,9.0%
1001910001,9.0%
1001910090,9.0%
1001990001,9.0%
1001990090,9.0%
1002100000,9.0%
1002900000,9.0%
1003100000,9.0%
1003900000,9.0%
1004100000,9.0%
1004900000,9.0%
1005100001,9.0%
1005100090,9.0%
1005900001,9.0%
1005900090,9.0%
1006102101,9.0%
1006102190,9.0%
1006102901,9.0%
1006102990,9.0%
1006108101,9.0%
1006108190,9.0%
1006108901,9.0%
1006108990,9.0%
1006202001,9.0%
1006202090,9.0%
1006208001,9.0%
1006208090,9.0%
1006302001,9.0%
1006302090,9.0%
1006308001,9.0%
1006308090,9.0%
1006402001,9.0%
1006402090,9.0%
1006408001,9.0%
1006408090,9.0%
1007100000,9.0%
1007900000,9.0%
1008100000,9.0%
1008210000,9.0%
1008290000,9.0%
1008300000,9.0%
1008401000,9.0%
1008409000,9.0%
1008501000,9.0%
1008509000,9.0%
1008601000,9.0%
