HS_CODE,MFN_Rate,Preferential_Rate(Agreement rate),Countries(abbreviated) for Preferential_Rate(Agreement rate),Preferential_Tariff_Rate(Special_Preferential_Tariff_Rate),Unnamed: 5,General_Tariff_Rate
"""3403.1100""",10,0,"AS,CL,NZ,SG,PE,",0,LD,50
,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , NZ ,KH,MV,",,,
,,,"HK,MO",,,
,,2,PK,,,
,,6,"RKR ,RS",,,
,,6.5,AP,,,
,,7.5,RJP,,,
,,8,NI,,,
,,8.8,EC,,,
"""3403.1900""",10,0,"AS,CL,NZ,SG,PE,",0,LD,50
,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,"KH,EC,MV,HK,MO",,,
,,4,PK,,,
,,6,"AS R , AU R , KR , NZ ,",,,
,,RS,,,,
,,6.4,JP,,,
,,8,NI,,,
"""3403.9100""",10,0,"AS,CL,NZ,SG,PE,",0,LD,50
,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , KR R , NZ ,KH,",,,
,,,"MV,HK,MO",,,
,,2,PK,,,
,,6.4,JP,,,
,,8,"NI,RS",,,
,,8.8,EC,,,
"""3403.9900""",10,0,"AS,CL,NZ,SG,PE,",0,LD,50
,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , KR , NZ ,KH,",,,
,,,"MV,HK,MO",,,
,,2,PK,,,
,,6,RS,,,
,,7.5,JP,,,
,,8,NI,,,
,,8.8,EC,,,
"""34.04""",,,,,,
"""3404.2000""",10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,70
,,,"IS,AU,GE,MU,KH,MV,HK,",,,
,,,MO,,,
,,2,PK,,,
,,5,"AS , AU ,RNZ",,,
,,6,RS,,,
,,8,NI,,,
,,8.8,EC,,,
"""3404.9000""",10,0,"AS,CL,PK,NZ,PE,CR,",0,LD,70
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU ,RKR ,RNZ ,KH,",,,
,,,"EC,MV,HK,MO",,,
,,6,RS,,,
,,6.4,JP,,,
,,8,NI,,,
"""34.05""",,,,,,
"""3405.1000""",6.5,0,"AS,CL,NZ,SG,PE,",0,LD,80
,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , NZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,2,PK,,,
,,6,KR,,,
,,6.4,JP,,,
"""3405.2000""",6.5,0,"AS,CL,NZ,SG,PE,",0,LD,80
,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , NZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,2,PK,,,
,,6,KR,,,
,,6.4,JP,,,
"""3405.3000""",6.5,0,"AS,CL,NZ,SG,PE,",0,LD,80
,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , NZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,2,PK,,,
,,6,KR,,,
,,6.4,JP,,,
"""3405.4000""",6.5,0,"AS,CL,NZ,PE,CR,CH,",0,LD,80
,,,"RIS,  KR,  AU,  GE,  MU, AS ,",,,
,,,"RAU ,RNZ ,KH,NI,EC,MV,",,,
,,,"HK,MO",,,
,,2,PK,,,
,,3.9,RS,,,
,,6,KR,,,
,,6.4,JP,,,
"""3405.9000""",6.5,0,"AS,CL,NZ,SG,PE,",0,LD,80
,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU ,RKR ,RNZ ,KH,",,,
,,,"NI,EC,MV,HK,MO",,,
,,2,PK,,,
,,4.2,AP,,,
,,5.2,RS,,,
,,6.4,JP,,,
"""34.06""",,,,,,
"""3406.0000""",6.5,0,"AS,CL,NZ,SG,PE,",0,LD,130
,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , NZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,2,PK,,,
,,6,KR,,,
,,6.4,JP,,,
"""34.07""",,,,,,
"""3407.0010""",6.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , NZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,3.9,KR,,,
,,4.1,JP,,,
"""3407.0020""",6.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,40
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS ,RAU , KR ,RNZ ,KH,",,,
,,,"NI,EC,MV,HK,MO",,,
,,3.9,RS,,,
,,4.1,JP,,,
"""3407.0090""",10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,100
,,,"RIS,KR,AU,GE,MU, AS ,",,,
,,,"RAU ,RNZ ,KH,MV,HK,",,,
,,,MO,,,
,,2,PK,,,
,,6,"KR ,RS",,,
,,6.4,JP,,,
,,8,NI,,,
,,8.8,EC,,,
"""35.01""",,,,,,
"""3501.1000""",10,0,"AS,CL,NZ,SG,PE,",0,LD,35
,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , NZ ,KH,EC,",,,
,,,"MV,HK,MO",,,
,,4,PK,,,
,,6,"KR ,RS",,,
,,6.4,JP,,,
,,8,NI,,,
"""3501.9000""",10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,35
,,,"IS,KR,AU,GE,MU,RAS ,",,,
,,,"RAU ,RNZ ,KH,EC,MV,",,,
,,,"HK,MO",,,
,,2,PK,,,
,,6,"KR ,RS",,,
,,6.4,JP,,,
,,8,NI,,,
"""35.02""",,,,,,
"""3502.1100""",10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,80
,,,"IS, RKR,AU,GE,MU, AS ,",,,
,,,"RAU R , NZ ,KH,MV,HK,",,,
,,,MO,,,
,,2,PK,,,
,,6,KR,,,
,,6.4,JP,,,
,,8,"NI,RS",,,
,,9,EC,,,
"""3502.1900""",10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,80
,,,"IS, RKR,AU,GE,MU, AS ,",,,
,,,"RAU ,RNZ ,KH,MV,HK,",,,
,,,MO,,,
,,2,PK,,,
,,6,KR,,,
,,6.4,JP,,,
,,8,"NI,RS",,,
,,9,EC,,,
"""3502.2000""",10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,35
,,,"IS,KR,AU,GE,MU,KH,MV,",,,
,,,"HK,MO",,,
,,2,PK,,,
,,6,"AS R , AU R , KR R , NZ ,",,,
,,,RS,,,
,,6.4,JP,,,
,,8,"NI,EC",,,
"""3502.9000""",10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,35
,,,"RIS,KR,AU,GE,MU, AS ,",,,
,,,"RAU ,RNZ ,KH,EC,MV,",,,
,,,"HK,MO",,,
,,2,PK,,,
,,6,"KR ,RS",,,
,,6.4,RJP,,,
,,8,NI,,,
"""35.03""",,,,,,
"""3503.0010""",12,0,"AS,CL,PK,NZ,SG,",0,LD,35
,,,"PE,CR,CH,IS,KR,AU,GE,",,,
,,,"RMU, AS , AU R , NZ ,KH,",,,
,,,"MV,HK,MO",,,
,,7.2,"KR ,RS",,,
,,7.6,JP,,,
,,9.6,AP,,,
,,10.4,"NI,EC",,,
"""3503.0090""",12,0,"AS,CL,NZ,SG,PE,",0,LD,50
,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,"RAS ,RAU ,RNZ ,KH,EC,",,,
,,,"MV,HK,MO",,,
,,6,PK,,,
,,7.2,"KR ,RS",,,
,,7.6,RJP,,,
,,9.6,AP,,,
,,10.4,NI,,,
"""35.04""",,,,,,
"""3504.0010""",3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,11
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU ,RJP , KR R , NZ ,",,,
,,,"KH,NI,EC,MV,HK,MO",,,
,,2.4,RS,,,
"""3504.0020""",8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , KR R , NZ ,KH,",,,
,,,"NI,EC,RS,MV,HK,MO",,,
,,5.1,JP,,,
"""3504.0090""",8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , KR R , NZ ,KH,",,,
,,,"NI,EC,RS,MV,HK,MO",,,
,,5.1,JP,,,
"""35.05,""",,,,,,
"""3505.1000""",12?6,0,"AS,CL,NZ,SG,PE,",0,LD,50
,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,"RAS ,RAU ,RNZ ,KH,EC,",,,
,,,"MV,HK,MO",,,
,,4.8,PK,,,
,,7.2,"RKR ,RS",,,
,,7.6,JP,,,
,,10.4,NI,,,
"""3505.2000""",20,0,"AS,CL,NZ,SG,PE,",0,LD,50
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"MV,HK,MO",,,
,,5.3,KR,,,
,,12,"AS R , AU R , KR R , NZ",,,
,,15,JP,,,
,,17.3,NI,,,
"""35.06""",,,,,,
"""3506.1000""",10,0,"AS,CL,NZ,SG,PE,",0,LD,90
,,,"CR,CH,KR,AU,GE,MU,",,,
,,,"RAS , AU R , KR R , NZ ,KH,",,,
,,,"MV,HK,MO",,,
,,2,PK,,,
,,6,RS,,,
,,6.5,AP,,,
,,7.5,JP,,,
,,8,NI,,,
,,8.8,EC,,,
"""39.0139.13""",,,,,,
"""3506.9110""",10,0,"AS,CL,NZ,SG,PE,",0,LD,90
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"MV,HK,MO,TW",,,
,,2,PK,,,
,,2.6,KR,,,
,,6,RS,,,
,,7,AP,,,
,,7.3,"AS R , KR",,,
,,7.5,JP,,,
,,8,"AU R , NZ ,NI",,,
,,8.8,EC,,,
"""3506.9120""",10,0,"AS,CL,NZ,SG,PE,",0,LD,90
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"MV,HK,MO",,,
,,2,PK,,,
,,4.5,KR,,,
,,6,EC,,,
,,6.5,AP,,,
,,8,"AS R , AU R , KR R , NZ ,",,,
,,,"NI,RS",,,
,,8.1,JP,,,
"""3506.9190""",10,0,"AS,CL,NZ,SG,PE,",0,LD,90
,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU ,RNZ ,KH,MV,",,,
,,,"HK,MO",,,
,,2,PK,,,
,,6,"KR ,EC",,,
,,7,AP,,,
,,7.5,JP,,,
,,8,NI,,,
,,8.7,RS,,,
"""3506.9900""",10,0,"AS,CL,NZ,SG,PE,",0,LD,90
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"MV,HK,MO,TW",,,
,,2,PK,,,
,,4.5,KR,,,
,,6,RS,,,
,,6.5,AP,,,
,,8,"AS R , AU R , KR , NZ ,",,,
,,,NI,,,
,,8.1,JP,,,
,,8.8,EC,,,
"""35.07""",,,,,,
"""3507.1000""",6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS ,RAU R , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""3507.9010""",6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , NZ ,KH,NI,",,,
,,,"EC,MV,HK,MO",,,
,,3.6,"RKR ,RS",,,
,,3.8,JP,,,
"""3507.9020""",6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , NZ ,KH,NI,",,,
,,,"EC,MV,HK,MO",,,
,,3.6,"KR ,RS",,,
,,3.8,JP,,,
"""3507.9090""",6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,"CH,IS,KR,AU,GE,MU,KH,",,,
,,,"NI,EC,RS,MV,HK,MO",,,
,,3.6,"AS R , AU R , KR R , NZ",,,
,,3.8,JP,,,
"""36.01""",,,,,,
"""3601.0000""",9,0,"AS,CL,PK,NZ,PE,CR,",0,LD,50
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , KR , NZ ,KH,",,,
,,,"MV,HK,MO",,,
,,5.4,RS,,,
,,5.7,JP,,,
,,7.2,NI,,,
,,7.9,EC,,,
"""36.02""",,,,,,
"""3602.0010""",9,0,"AS,CL,PK,NZ,PE,CR,",0,LD,50
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , KR ,RNZ ,KH,",,,
,,,"MV,HK,MO",,,
,,5.4,RS,,,
,,5.7,JP,,,
,,7.2,NI,,,
,,7.9,EC,,,
"""3602.0090""",9,0,"AS,CL,PK,NZ,PE,CR,",0,LD,50
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , KR ,RNZ ,KH,",,,
,,,"MV,HK,MO",,,
,,5.4,RS,,,
,,5.7,JP,,,
,,7.2,NI,,,
,,7.9,EC,,,
"""36.03""",,,,,,
"""3603.1000""",9,0,"AS,CL,PK,NZ,PE,CR,",0,LD,50
,,,"CH,IS,KR,AU,GE,MU,KH,",,,
,,,"EC,MV,HK,MO",,,
,,5.4,"AS R , AU R , KR ,RNZ",,,
,,5.7,JP,,,
,,7.2,"NI,RS",,,
"""3603.2000""",9,0,"AS,CL,PK,NZ,PE,CR,",0,LD,50
,,,"CH,IS,KR,AU,GE,MU,KH,",,,
,,,"EC,MV,HK,MO",,,
,,5.4,"AS R , AU R , KR R , NZ",,,
,,5.7,JP,,,
,,7.2,"NI,RS",,,
"""3603.3000""",9,0,"AS,CL,PK,NZ,PE,CR,",0,LD,50
,,,"CH,IS,KR,AU,GE,MU,KH,",,,
,,,"EC,MV,HK,MO",,,
,,5.4,"AS R , AU R , KR ,RNZ",,,
,,5.7,JP,,,
,,7.2,"NI,RS",,,
"""3603.4000""",9,0,"AS,CL,PK,NZ,PE,CR,",0,LD,50
,,,"CH,IS,KR,AU,GE,MU,KH,",,,
,,,"EC,MV,HK,MO",,,
,,5.4,"AS R , AU R , KR R , NZ",,,
,,5.7,JP,,,
,,7.2,"NI,RS",,,
"""3603.5000""",9,0,"AS,CL,PK,NZ,PE,CR,",0,LD,50
,,,"CH,IS,KR,AU,GE,MU,KH,",,,
,,,"EC,MV,HK,MO",,,
,,5.4,"AS R , AU R , KR R , NZ",,,
,,5.7,JP,,,
,,7.2,"NI,RS",,,
"""3603.6000""",9,0,"AS,CL,PK,NZ,PE,CR,",0,LD,50
,,,"CH,IS,KR,AU,GE,MU,KH,",,,
,,,"EC,MV,HK,MO",,,
,,5.4,"AS R , AU R , KR , NZ",,,
,,5.7,JP,,,
,,7.2,"NI,RS",,,
"""36.04""",,,,,,
"""3604.1000""",6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,130
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP ,RKR ,RNZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""3604.9000""",6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,100
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , JP ,RKR ,RNZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""36.05""",,,,,,
"""3605.0000""",6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,100
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , JP , KR ,RNZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""36.06""",,,,,,
"""3606.1000""",6,0,"AS,CL,NZ,PE,CR,CH,",0,LD,80
,,,"RIS,  KR,  AU,  GE,  MU, AS ,",,,
,,,"AU , NZ ,KH,NI,EC,RS,",,,
,,,"MV,HK,MO",,,
,,2,PK,,,
,,6,KR,,,
,,6.4,JP,,,
"""3606.9011""",6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,80
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , KR ,RNZ ,KH,",,,
,,,"NI,EC,RS,MV,HK,MO",,,
,,5.7,JP,,,
"""3606.9019""",6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,50
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , KR R , NZ ,KH,",,,
,,,"NI,EC,RS,MV,HK,MO",,,
,,5.7,JP,,,
"""3606.9090""",6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,80
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , KR ,RNZ ,KH,",,,
,,,"NI,EC,RS,MV,HK,MO",,,
,,5.7,JP,,,
"""37.01""",,,,,,
,,,,,,
,,,,,,
"""3701.1000""",20?15,0,"CL,NZ,PE,CR,CH,IS,",0,LD,40
,,,"AU,GE,MU,KH,MV,HK,",,,
,,,MO,,,
,,5,AS,,,
,,16,"AP,KR",,,
"""3701.2000""",5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,40
,,,"IS,KR,AU,GE,MU,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,2,CH,,,
,,3,"AS R , AU R , KR R , NZ",,,
,,3.2,JP,,,
,,,,,,
"""10.625""",,,,,,
"""3701.3021""",0,0,"CL,NZ,PE,CR,CH,IS,",0,LD,50
,,,"RAU,  GE,MU, AS R , JP ,KH,",,,
,,,"NI,EC,RS,MV,HK,MO",,,
,,5,AS,,,
,,6,"AU R , KR R , NZ",,,
,,1,KR,,,
"""3701.3022""",0,0,"AP,CL,NZ,PE,CR,CH,",0,LD,50
,,,"IS,AU, RGE,MU, AS R , JP ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
,,5,AS,,,
,,6,"AU , KR ,RNZ",,,
,,2,KR,,,
"""3701.3024""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,50
,,,"RCH,IS,AU,GE,MU, AS ,",,,
,,,"RAU R , JP R , NZ ,KH,NI,EC,",,,
,,,"RS,MV,HK,MO",,,
,,6,KR,,,
,,3,KR,,,
"""3701.3025""",0,0,"AS,CL,NZ,PE,CR,CH,",0,LD,50
,,,"RIS,AU,GE,MU, AS R , AU ,",,,
,,,"RJP ,RNZ ,KH,NI,EC,RS,",,,
,,,"MV,HK,MO",,,
,,6,KR,,,
,,1,KR,,,
"""3701.3029""",0,0,"CL,NZ,PE,CR,CH,IS,",0,LD,50
,,,"RAU,GE,MU, AS R , JP , KR ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
,,5,AS,,,
,,6,"AU R , NZ",,,
,,2,KR,,,
"""3701.3090""",0,0,"AP,AS,CL,NZ,SG,",0,LD,70
,,,"PE,CR,CH,IS,AU,GE,MU,",,,
,,,"RAS , JP ,KH,NI,EC,RS,",,,
,,,"MV,HK,MO",,,
,,5.3,KR,,,
,,12,"AU R , KR ,RNZ",,,
"""3701.9100""",20,0,"AS,CL,NZ,SG,PE,",0,LD,70
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"MV,HK,MO",,,
,,5,"AS R , AU R , NZ",,,
,,17.3,"NI,RS",,,
"""3701.9920""",0,0,"AS,CL,NZ,PE,CR,CH,",0,LD,40
,,,"RIS,  KR,  AU,  GE,  MU, AS ,",,,
,,,"RAU R , NZ ,KH,NI,EC,RS,",,,
,,,"MV,HK,MO",,,
,,2,PK,,,
,,6,KR,,,
,,6.4,JP,,,
"""3701.9990""",0,0,"AS,CL,NZ,SG,PE,",0,LD,70
,,,"CR,CH,IS,AU,GE,MU,",,,
,,,"RAS , AU R , NZ ,KH,MV,",,,
,,,"HK,MO",,,
,,3.8,RS,,,
,,7.5,NI,,,
,,8.3,EC,,,
,,15,KR,,,
,,15.9,JP,,,
"""37.02""",,,,,,
"""3702.1000""",10,0,"CL,NZ,PE,CR,CH,IS,",0,LD,40
,,,"AU,GE,KH,MV,HK,MO",,,
,,2.6,KR,,,
,,2.9,MU,,,
,,5,AS,,,
,,6,RS,,,
,,8,"AP, AS R , AU R , KR ,NI",,,
,,8.1,JP,,,
,,9,NZ,,,
,,,,,,
"""4.375""",,,,,,
"""3702.3110""",5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,40
,,,"RCH,  IS,  KR,AU,GE, AS ,",,,
,,,"RAU ,RJP R , KR , NZ ,KH,",,,
,,,"NI,EC,RS,MV,HK,MO",,,
,,1.4,MU,,,
"""3702.3190""",1,0,"AS,CL,NZ,SG,PE,",0,LD,2
,,,"CR,IS,AU,GE,KH,MV,HK,",,,
,,,MO,,,
,,5,"AS R , AU R , NZ",,,
,,11.4,MU,,,
"""3702.3210""",5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,40
,,,"RCH,  IS,KR,AU,GE, AS ,",,,
,,,"RAU R , JP R , KR , NZ ,KH,",,,
,,,"NI,EC,RS,MV,HK,MO",,,
,,1.4,MU,,,
"""3702.3220""",3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,4
,,,"RCH,IS,AU,GE, AS R , AU ,",,,
,,,"RNZ ,KH,MV,HK,MO",,,
,,2.9,MU,,,
,,6,"RKR ,RS",,,
,,6.4,JP,,,
,,8,NI,,,
,,9,EC,,,
,,5,KR,,,
"""3702.3290""",6,0,"AS,CL,NZ,SG,PE,",0,LD,7
,,,"CR,CH,IS,AU,GE,KH,MV,",,,
,,,"HK,MO",,,
,,6.3,MU,,,
,,17.6,"AS R , AU R , KR R , NZ",,,
,,19.1,RS,,,
,,8,KR,,,
"""3702.3920""",1,0,"AS,CL,PK,NZ,PE,CR,",0,LD,2
,,,"CH,IS,AU,GE,KH,MV,HK,",,,
,,,MO,,,
,,2.9,MU,,,
,,6,"AS R , AU , KR ,RNZ ,",,,
,,RS,,,,
,,7.5,JP,,,
,,8,NI,,,
,,9,EC,,,
,,3,KR,,,
"""3702.3990""",4,0,"AS,CL,NZ,SG,PE,",0,LD,5
,,,"CR,CH,IS,AU,GE,KH,MV,",,,
,,,"HK,MO",,,
,,6.3,MU,,,
,,17.6,"AS R , AU R , KR R , NZ",,,
,,19.1,RS,,,
,,6,KR,,,
,,,,,,
"""4.375""",,,,,,
"""3702.4100""",7,0,"CL,NZ,PE,CR,CH,IS,",0,LD,8
"""0200.0000""",,,"AU,GE,KH,MV,HK,MO",,,
,,4.6,MU,,,
,,13.9,RS,,,
,,,,,,
,,,,,,
"""3702.4221""",9,0,"AS,CL,PK,NZ,SG,",0,LD,10
,,,"PE,CR,CH,IS,AU,GE,KH,",,,
,,,"MV,HK,MO",,,
,,2.9,MU,,,
,,5,"AS R , AU R , NZ",,,
,,6,RS,,,
,,8,NI,,,
,,8.8,EC,,,
"""3702.4229""",1?2,0,"AS,CL,PK,NZ,PE,CR,",0,LD,3
,,,"CH,IS,AU,GE,KH,MV,HK,",,,
,,,MO,,,
,,2.9,MU,,,
,,6,"AS R , AU R , KR R , NZ ,",,,
,,RS,,,,
,,6.4,JP,,,
,,8,"AP,NI",,,
,,9,EC,,,
,,4,KR,,,
"""3702.4292""",5,0,"AS,CL,NZ,SG,PE,",0,LD,6
,,,"CR,CH,IS,AU,GE,KH,MV,",,,
,,,"HK,MO",,,
,,4.6,MU,,,
,,9.6,"AS , AU R , KR ,RNZ",,,
,,10.2,JP,,,
,,12.8,AP,,,
,,13.9,"NI,RS",,,
,,7,KR,,,
"""3702.4299""",9,0,"AS,CL,NZ,SG,PE,",0,LD,10
,,,"RCR,CH,IS,AU,GE, AS ,",,,
,,,"RAU ,RNZ ,KH,MV,HK,",,,
,,,MO,,,
,,4.6,MU,,,
,,9.6,KR,,,
,,10.2,JP,,,
,,12.8,AP,,,
,,13.9,"NI,RS",,,
,,11,KR,,,
"""610,""",,,,,,
"""8.333333333""",,,,,,
"""3702.4321""",10,0,"AS,CL,PK,NZ,PE,CR,",0,LD,1
,,,"CH,IS,AU,GE,KH,MV,HK,",,,
,,,MO,,,
,,2.9,MU,,,
,,6,RS,,,
,,8,"AP, AS , AU R , KR ,",,,
,,,"RNZ ,NI",,,
,,8.8,EC,,,
,,2,KR,,,
"""3702.4329""",3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,4
,,,"CH,IS,AU,GE,RAS R , AU ,",,,
,,,"RNZ ,KH,MV,HK,MO",,,
,,2.9,MU,,,
,,6,"KR ,RS",,,
,,6.4,JP,,,
,,8,NI,,,
,,8.7,EC,,,
,,9,AP,,,
,,5,KR,,,
"""3702.4390""",6,0,"AS,CL,NZ,SG,PE,",0,LD,7
,,,"CR,CH,IS,AU,GE,KH,MV,",,,
,,,"HK,MO",,,
,,5.7,MU,,,
,,12,"AS R , AU R , KR ,RNZ",,,
,,15,JP,,,
,,16,AP,,,
,,17.3,NI,,,
,,8,KR,,,
"""105610""",,,,,,
"""3702.4421""",9,0,"AS,CL,PK,NZ,PE,CR,",0,LD,10
,,,"CH,IS,AU,GE,RAS R , AU ,",,,
,,,"RNZ ,KH,MV,HK,MO",,,
,,2.9,MU,,,
,,6,"RKR ,RS",,,
,,6.4,JP,,,
,,8,NI,,,
,,9,"AP,EC",,,
,,11,KR,,,
"""3702.4422""",12,0,"AS,CL,PK,NZ,PE,CR,",0,LD,13
,,,"CH,IS,AU,GE,KH,MV,HK,",,,
,,,MO,,,
,,2.9,MU,,,
,,5,"AS R , AU ,RNZ",,,
,,6,RS,,,
,,8,NI,,,
,,8.7,EC,,,
"""3702.4429""",1,0,"AS,CL,PK,NZ,PE,CR,",0,LD,2
,,,"CH,IS,AU,GE,RAS , AU ,",,,
,,,"RNZ ,KH,MV,HK,MO",,,
,,2.9,MU,,,
,,6,"KR ,RS",,,
,,6.4,RJP,,,
,,8,NI,,,
,,9,EC,,,
,,3,KR,,,
"""3702.4490""",4,0,"AS,CL,NZ,SG,PE,",0,LD,5
,,,"CR,CH,IS,AU,GE,KH,MV,",,,
,,,"HK,MO",,,
,,5.7,MU,,,
,,12,"AS R , AU , KR R , NZ",,,
,,15,JP,,,
,,16,AP,,,
,,17.3,"NI,RS",,,
,,6,KR,,,
"""3702.5200""",7,0,"AS,CL,NZ,SG,PE,",0,LD,8
,,,"CR,IS,AU,GE,KH,MV,HK,",,,
,,,MO,,,
,,5,"AS R , AU R , NZ",,,
,,13.4,MU,,,
"""3702.5300""",9,0,"AS,CL,NZ,SG,PE,",0,LD,10
"""35,3.0000""",,,"CR,IS,AU,GE,KH,MV,HK,",,,
,,,MO,,,
,,5,"AS R , AU ,RNZ",,,
,,13.4,MU,,,
,,,,,,
"""35,30""",,,,,,
"""3702.5410""",11,0,"CL,NZ,PE,CR,CH,IS,",0,LD,12
,,,"AU,GE,KH,MV,HK,MO",,,
,,5,AS,,,
,,5.1,MU,,,
,,8,"AP,NI,RS",,,
,,9,EC,,,
,,16.2,"AS R , AU R , NZ",,,
,,13,KR,,,
"""3702.5490""",1,0,"CL,NZ,PE,CR,CH,IS,",0,LD,2
,,,"AU,GE,KH,MV,HK,MO",,,
,,5,AS,,,
,,5.1,MU,,,
,,14.4,AP,,,
,,3,KR,,,
"""16,35""",,,,,,
,,,,,,
"""3702.5520""",4,0,"CL,NZ,PE,CR,IS,AU,",0,LD,5
,,,"GE,KH,MV,HK,MO",,,
,,5,AS,,,
,,7.4,MU,,,
,,20,AP,,,
"""3702.5590""",6,0,"CL,NZ,CR,IS,AU,GE,",0,LD,7
,,,"KH,MV,HK,MO",,,
,,5,AS,,,
,,11.4,MU,,,
,,32,AP,,,
,,34.7,NI,,,
"""1/1/1900""",,,,,,
"""3702.5620""",8,0,"AS,CL,NZ,SG,PE,",0,LD,9
,,,"CR,CH,IS,AU,GE,KH,MV,",,,
,,,"HK,MO",,,
,,6.9,MU,,,
,,19.2,"AS R , AU R , KR R , NZ",,,
