HS_CODE,MFN_Rate,Preferential_Rate(Agreement rate),Countries(abbreviated) for Preferential_Rate(Agreement rate),Preferential_Tariff_Rate(Special_Preferential_Tariff_Rate),Unnamed: 5,General_Tariff_Rate
"""0106.9019""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP R , KR , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""0106.9090""",10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,50
,,,"RIS,  KR,  AU,  GE,  MU, AS ,",,,
,,,"RAU R , NZ ,KH,MV,HK,",,,
,,,MO,,,
,,2,PK,,,
,,6,"KR ,RS",,,
,,6.4,JP,,,
,,8,NI,,,
,,9,"AP,EC",,,
"""02.01""",,,,,,
"""0201.1000""",20,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",70
,,,"IS,AU,GE,MU,KH,NI,HK,",,"KH,",
,,,MO,,LA,
,,5.3,KR,,,
,,12,"AS R , KR R , NZ",,,
,,16,MV,,,
,,18,EC,,,
"""0201.2000""",12,0,"AS,CL,PK,NZ,CR,CH,",0,"LD,",70
,,,"IS,AU,GE,MU,KH,NI,HK,",,"KH,",
,,,MO,,LA,
,,0.7,PE,,,
,,3.2,KR,,,
,,9.6,"RAS R , KR R , NZ ,RS,MV",,,
,,10.4,EC,,,
"""0201.3000""",12,0,"AS,CL,PK,NZ,CR,CH,",0,"LD,",70
,,,"IS,AU,GE,MU,KH,NI,HK,",,KH,
,,,MO,,,
,,0.7,PE,,,
,,3.2,KR,,,
,,7.2,EC,,,
,,9.6,"AS , KR R , NZ ,RS,MV",,,
"""02.02""",,,,,,
"""0202.1000""",25,0,"AS,CL,PK,NZ,PE,CR,",0,"LD,",70
,,,"CH,IS,AU,MU,KH,NI,HK,",,"KH,",
,,,MO,,LA,
,,11.2,KR,,,
,,15,"EC,RS",,,
,,20,"AS R , KR , NZ ,MV",,,
"""0202.2000""",12,0,"AS,CL,PK,NZ,CR,CH,",0,"LD,",70
,,,"IS,AU,MU,KH,NI,HK,",,"KH,",
,,,MO,,LA,
,,0.7,PE,,,
,,3.2,KR,,,
,,9.6,"AS ,RKR ,RNZ ,EC,RS,",,,
,,,MV,,,
"""0202.3000""",12,0,"AS,CL,PK,NZ,CR,CH,",0,"LD,",70
,,,"IS,AU,MU,KH,NI,HK,",,KH,
,,,MO,,,
,,0.7,PE,,,
,,3.2,KR,,,
,,9.6,"AS R , KR R , NZ ,RS,MV",,,
,,10.4,EC,,,
"""02.03""",,,,,,
"""0203.1110""",20,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",70
,,,"IS,AU,GE,MU,KH,HK,",,"KH,",
,,,MO,,LA,
,,5.3,KR,,,
,,12,"AS R , AU R , KR R , NZ",,,
,,15,JP,,,
,,16,MV,,,
,,17.3,NI,,,
"""0203.1190""",20,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",70
,,,"IS,AU,GE,MU,KH,HK,",,"KH,",
,,,MO,,LA,
,,5.3,KR,,,
,,12,"AS R , AU R , KR R , NZ",,,
,,15,JP,,,
,,16,MV,,,
,,17.3,NI,,,
"""0203.1200""",20,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",70
,,,"IS,AU,GE,MU,KH,HK,",,"KH,",
,,,MO,,LA,
,,5.3,KR,,,
,,12,"AS R , AU R , KR R , NZ",,,
,,15,JP,,,
,,16,MV,,,
,,17.3,NI,,,
"""0203.1900""",20,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",70
,,,"IS,AU,GE,MU,KH,HK,",,"KH,",
,,,MO,,LA,
,,5.3,KR,,,
,,12,"AS R , AU R , KR R , NZ",,,
,,15,JP,,,
,,16,MV,,,
,,17.3,NI,,,
,,18,EC,,,
"""0203.2110""",12,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",70
,,,"IS,KR,AU,GE,MU,RAS ,",,"KH,",
,,,"RAU , NZ ,KH,RS,MV,HK,",,LA,
,,,MO,,,
,,6,PK,,,
,,7.2,KR,,,
,,7.6,JP,,,
,,9.6,EC,,,
,,10.4,NI,,,
"""0203.2190""",12,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",70
,,,"RIS,  KR,AU,GE,MU, AS ,",,"KH,",
,,,"RAU ,RNZ ,KH,RS,MV,HK,",,LA,
,,,MO,,,
,,6,PK,,,
,,7.2,RKR,,,
,,7.6,JP,,,
,,9.6,NI,,,
,,10.4,EC,,,
"""0203.2200""",12,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",70
,,,"RIS,  KR,  AU,  GE,  MU, AS ,",,"KH,",
,,,"RAU ,RNZ ,KH,RS,MV,HK,",,LA,
,,,MO,,,
,,6,PK,,,
,,7.2,KR,,,
,,7.6,JP,,,
,,9.6,NI,,,
,,10.4,EC,,,
"""0203.2900""",12,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",70
,,,"IS, RKR,AU,GE,MU, AS ,",,KH,
,,,"RAU , NZ ,KH,RS,MV,HK,",,,
,,,MO,,,
,,6,PK,,,
,,7.2,KR,,,
,,7.6,JP,,,
,,9.6,NI,,,
,,10.4,EC,,,
"""02.04""",,,,,,
"""0204.1000""",15,0,"AS,CL,NZ,PE,CR,CH,",0,LD,70
,,,"RIS,  KR,  AU,  GE,  MU, AS ,",,,
,,,"RNZ ,KH,MV,HK,MO",,,
,,9,"AU , KR ,EC",,,
,,9.5,JP,,,
,,12,"PK,RS",,,
,,13,NI,,,
"""0204.2100""",23,0,"AS,CL,NZ,PE,CR,CH,",0,LD,70
,,,"IS,AU,GE,MU,KH,MV,HK,",,,
,,,MO,,,
,,10.3,KR,,,
,,19.9,NI,,,
,,20.7,"AS R , AU ,RNZ",,,
"""0204.2200""",15,0,"AS,CL,NZ,PE,CR,CH,",0,LD,70
,,,"IS,KR,AU,GE,MU,RAS ,",,,
,,,"RNZ ,KH,MV,HK,MO",,,
,,9,"AU ,RKR ,EC",,,
,,9.5,JP,,,
,,12,"PK,RS",,,
,,13,NI,,,
"""0204.2300""",15,0,"AS,CL,NZ,PE,CR,CH,",0,LD,70
,,,"RIS,  KR,  AU,  GE,  MU, AS ,",,,
,,,"RNZ ,KH,MV,HK,MO",,,
,,9,"AU R , KR ,EC",,,
,,9.5,JP,,,
,,12,"PK,RS",,,
,,13,NI,,,
"""0204.3000""",15,0,"AS,CL,NZ,CR,CH,IS,",0,LD,70
,,,"RKR,AU,GE,MU, AS ,",,,
,,,"RNZ ,KH,MV,HK,MO",,,
,,0.9,PE,,,
,,9,"AU R , KR ,EC,RS",,,
,,9.5,RJP,,,
,,12,PK,,,
