Number,Code,Unit,Goods,Normal Tariff,Preferential Tarrif
,01B,kg,Blueberries,,
,09H,kg,Other,,
±0810.50.00,,,Kiwifruit,Free,Free
,10E,kg,Gold fleshed,,
,19J,kg,Green fleshed,,
,25C,kg,Red fleshed,,
,30K,kg,Other,,
0810.60.00,00A,kg,Durians,Free,Free
0810.70.00,00E,kg,Persimmons,Free,Free
0810.90.00,,,Other,Free,Free
,10K,kg,Passionfruit,,
,20G,kg,Jackfruit and lychees,,
,30D,kg,Boysenberries,,
,40A,kg,Tamarillos,,
,50J,kg,Feijoas,,
,55K,kg,Kiwiberries,,
,70C,kg,Pepinos (solanum muricatum),,
,91F,kg,Other,,
8.11,,,"Fruit and nuts, uncooked or cooked by steaming or boiling in water,",,
,,,"frozen, whether or not containing added sugar or other sweetening",,
,,,matter:,,
811.1,,,Strawberries:,,
0811.10.01,00H,kg,Containing added sugar or other sweetening matter,Free,Free
0811.10.09,00J,kg,Other,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,LDC 4
,,,,,RCEP 3.5
,,,,,1/2025 3
,,,"Fruit and nuts, uncooked or cooked by steaming, etc.continued",,
811.2,,,"Raspberries, blackberries, mulberries, loganberries, black, white or red",,
,,,currants and gooseberries:,,
0811.20.01,00A,kg,Containing added sugar or other sweetening matter,Free,Free
0811.20.09,,,Other,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,LDC 4
,01L,kg,Raspberries,,
,,,Blackcurrants:,,
,21E,kg,Individually quick frozen,,
,23A,kg,Bulk quick frozen,,
,28B,kg,Other,,
,39H,kg,Other,,
811.9,,,Other:,,
,,,Containing added sugar or other sweetening matter:,,
0811.90.01,00G,kg,Passionfruit,Free,Free
0811.90.09,,,Other,Free,Free
,01F,kg,Apples,,
,09A,kg,Apricots,,
,11C,kg,Berry fruit,,
,19J,kg,Fruit salad,,
,21L,kg,Peaches,,
,29F,kg,Pears,,
,31H,kg,Plums,,
,39C,kg,Guavas,,
,41E,kg,"Oranges, tangerines, mandarins",,
,49L,kg,Papaws,,
,51B,kg,Prunes,,
,59H,kg,Other,,
,,,Other:,,
0811.90.11,00B,kg,Passionfruit,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,LDC 4
,,,,,RCEP 3.5
,,,,,1/2025 3
0811.90.19,,,Other,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,LDC 4
,,,Boysenberries:,,
,12G,kg,Individually quick frozen,,
,18F,kg,Other,,
,,,Blueberries:,,
,31C,kg,Individually quick frozen,,
,39J,kg,Other,,
,41L,kg,Kiwifruit,,
,49F,kg,Other,,
8.12,,,"Fruit and nut provisionally preserved, but unsuitable in that state",,
,,,for immediate consumption:,,
0812.10.00,00K,kg,Cherries,5,Free
,,,,,*See Below
,,,,,RCEP 3.5
,,,,,1/2025 3
0812.90.00,,,Other,5,Free
,,,,,*See Below
,,,,,RCEP 3.5
,,,,,1/2025 3
,10F,kg,Strawberries,,
,20C,kg,Nuts,,
,90D,kg,Other,,
8.13,,,"Fruit, dried, other than that of headings 08.01 to 08.06; mixtures of",,
,,,nuts or dried fruits of this Chapter:,,
0813.10.00,00H,kg,–Apricots,Free,Free
