Number,Code,Unit,Goods,Normal Tariff,Preferential Tarrif
,47A,m3,Rimu,,
,49H,m3,Other,,
,,,Exceeding 1 mm in thickness:,,
,,,Rotary:,,
,51K,m3,Sequoia sempervirens (redwood),,
,59E,m3,"Pseudotsuga douglasii (ÄúDouglas firÄù, ÄúOregon pineÄù)",,
,61G,m3,Pinus radiata,,
,69B,m3,"Juniperus virginiana (Äúeastern red cedarÄù),",,
,,,"Pinus lambertiana, Pinus strobus, Pinus monticola",,
,71D,m3,Thuja plicata (Äúwestern red cedarÄù),,
,75G,m3,Rimu,,
,79K,m3,Other,,
,,,Sliced:,,
,81A,m3,Sequoia sempervirens (redwood),,
,85D,m3,"Pseudotsuga douglasii (ÄúDouglas firÄù, ÄúOregon pineÄù)",,
,89G,m3,Pinus radiata,,
,91J,m3,"Juniperus virginiana (Äúeastern red cedarÄù),",,
,,,"Pinus lambertiana, Pinus strobus, Pinus monticola",,
,95A,m3,Thuja plicata (Äúwestern red cedarÄù),,
,97H,m3,Rimu,,
,99D,m3,Other,,
,,,Of tropical wood:,,
4408.31,,,"Dark Red Meranti, Light Red Meranti and Meranti Bakau:",,
4408.31.10,,,Planed,Free,Free
,01C,m3,Meranti Bakau,,
,09J,m3,Other,,
,,,"Sheets for veneering (including those obtained by, etc.continued",,
,,,Of tropical woodcontinued,,
,,,"Dark Red Meranti, Light Red Meranti and Meranti Bakaucontinued",,
4408.31.90,,,Other,5,Free
,,,,,*See Below
,,,,,CA Free
,,,Meranti Bakau,,
,,,Not exceeding 1 mm in thickness:,,
,01G,m3,Rotary,,
,09B,m3,Sliced,,
,,,Exceeding 1 mm in thickness:,,
,11D,m3,Rotary,,
,19K,m3,Sliced,,
,,,Other:,,
,,,Not exceeding 1 mm in thickness:,,
,21A,m3,Rotary,,
,29G,m3,Sliced,,
,,,Exceeding 1 mm in thickness:,,
,31J,m3,Rotary,,
,39D,m3,Sliced,,
4408.39,,,Other:,,
4408.39.10,,,Planed,Free,Free
,01K,m3,"White Lauan, Sipo, Limba, Okoum, Obeche, Acajou dAfrique",,
,,,"and Sapelli, Mahogany (Swietenia spp.)",,
,11G,m3,Merbau (Kwila),,
,17F,m3,Ramin,,
,29K,m3,Other,,
4408.39.90,,,Other,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
,,,"White Lauan, Sipo, Limba, Okoum, Obeche, Acajou dAfrique",,
,,,"and Sapelli, Mahogany (Swietenia spp.):",,
,,,Not exceeding 1mm in thickness:,,
,01C,m3,Rotary,,
,09J,m3,Sliced,,
,,,Exceeding 1mm in thickness:,,
,11L,m3,Rotary,,
,29C,m3,Sliced,,
,,,Merbau (Kwila):,,
,,,Not exceeding 1mm in thickness:,,
,33A,m3,Rotary,,
,35H,m3,Sliced,,
,,,Exceeding 1 mm in thickness:,,
,37D,m3,Rotary,,
,43J,m3,Sliced,,
,,,Ramin:,,
,,,Not exceeding 1mm in thickness:,,
,45E,m3,Rotary,,
,47A,m3,Sliced,,
,,,Exceeding 1 mm in thickness:,,
,53F,m3,Rotary,,
,55B,m3,Sliced,,
,,,Other,,
,,,Not exceeding 1 mm in thickness:,,
,65K,m3,Rotary,,
,67F,m3,Sliced,,
,,,Exceeding 1 mm in thickness:,,
,71D,m3,Rotary,,
,79K,m3,Sliced,,
4408.9,,,Other:,,
,,,Other tropical hardwoods:,,
4408.90.02,,,Planed,Free,Free
,01H,m3,"Baboen, Palissandre du Brsil and Bois de Rose femelle",,
,09C,m3,Other,,
,,,"Sheets for veneering (including those obtained by, etc.continued",,
,,,Othercontinued,,
,,,Other tropical hardwoodscontinued,,
4408.90.08,,,Other,5,Free
,,,,,*See Below
,,,,,CA Free
,,,"Baboen, Palissandre du Brsil and Bois de Rose femelle",,
,,,Not exceeding 1 mm in thickness:,,
,01F,m3,Rotary,,
,09A,m3,Sliced,,
,,,Exceeding 1 mm in thickness:,,
,11C,m3,Rotary,,
,29F,m3,Sliced,,
,,,Other:,,
,,,Not exceeding 1 mm in thickness:,,
,31H,m3,Rotary,,
,39C,m3,Sliced,,
,,,Exceeding 1 mm in thickness:,,
,41E,m3,Rotary,,
,49L,m3,Sliced,,
,,,"Ash, hickory, Juglans species; oak:",,
4408.90.11,00J,m3, Planed,Free,Free
4408.90.19,,,Other,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 4
,,,,,1/2025 3.7
,,,Not exceeding 1 mm in thickness:,,
,01H,m3,Rotary,,
,09C,m3,Sliced,,
,,,Exceeding 1 mm in thickness:,,
,11E,m3,Rotary,,
,19L,m3,Sliced,,
,,,Other:,,
4408.90.21,,,Planed,Free,Free
,01B,m3,Beech,,
,09H,m3,Other,,
4408.90.29,,,Other,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
,,,Not exceeding 1 mm in thickness:,,
,10B,m3,Rotary,,
,13G,m3,Sliced,,
,,,Exceeding 1 mm in thickness:,,
,17K,m3,Rotary,,
,29C,m3,Sliced,,
44.09,,,"Wood (including strips and friezes for parquet flooring, not assembled)",,
,,,"continuously shaped (tongued, grooved, rebated, chamfered, v-jointed,",,
,,,"beaded, moulded, rounded or the like) along any of its edges, ends or",,
,,,"faces, whether or not planed, sanded or end-jointed:",,
4409.1,,,Coniferous:,,
4409.10.01,00B,.,Drawn wood,Free,Free
4409.10.09,00C,.,Moulded wood,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,LDC 4
,,,,,RCEP 4
,,,,,1/2025 3.7
4409.10.19,,,Other,Free,Free
,,,"Square dressed, structural:",,
,01G,m3,Pinus radiata,,
,09B,m3,"Pseudotsuga douglasii (ÄúDouglas firÄù, ÄúOregon pineÄù)",,
,19K,m3,Other,,
,,,Other:,,
,21A,m3,Pinus radiata,,
,29G,m3,"Pseudotsuga douglasii (ÄúDouglas firÄù, ÄúOregon pineÄù)",,
,39D,m3,Other,,
,,,"Wood (including strips and friezes for parquet flooring, etc.continued",,
,,,Non-coniferous:,,
4409.21,,,Of bamboo:,,
4409.21.01,00L,.,Drawn wood,Free,Free
4409.21.09,00A,.,Moulded wood,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,CPT Free
,,,,,LDC 4
,,,,,RCEP 4
,,,,,1/2025 3.7
4409.21.19,,,Other,Free,Free
,10D,m3,"Square dressed, structural",,
,19H,m3,Other,,
4409.22,,,Of tropical wood:,,
4409.22.10,,,Drawn wood,Free,Free
,10A,.,Merbau (Kwila),,
,15B,.,Ramin,,
,19E,.,Other,,
4409.22.15,,,Moulded wood,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,CPT Free
